Company Name	Website URL	Industry Name	Sector Name
JPMorgan Chase & Co.	https://www.jpmorganchase.com	Commercial Banking	Banking and Financial Services
Industrial and Commercial Bank of China	https://www.icbc-ltd.com	Commercial Banking	Banking and Financial Services
Bank of America	https://www.bankofamerica.com	Commercial Banking	Banking and Financial Services
HSBC Holdings	https://www.hsbc.com	Commercial Banking	Banking and Financial Services
BNP Paribas	https://www.bnpparibas.com	Commercial Banking	Banking and Financial Services
Mitsubishi UFJ Financial Group	https://www.mufg.jp	Commercial Banking	Banking and Financial Services
Citigroup	https://www.citigroup.com	Commercial Banking	Banking and Financial Services
Wells Fargo	https://www.wellsfargo.com	Commercial Banking	Banking and Financial Services
Santander Group	https://www.santander.com	Commercial Banking	Banking and Financial Services
Barclays	https://www.barclays.com	Commercial Banking	Banking and Financial Services
Deutsche Bank	https://www.db.com	Commercial Banking	Banking and Financial Services
TD Bank Group	https://www.td.com	Commercial Banking	Banking and Financial Services
Commonwealth Bank	https://www.commbank.com.au	Commercial Banking	Banking and Financial Services
UBS Group	https://www.ubs.com	Commercial Banking	Banking and Financial Services
Crédit Agricole	https://www.credit-agricole.com	Commercial Banking	Banking and Financial Services
ING Group	https://www.ing.com	Commercial Banking	Banking and Financial Services
Société Générale	https://www.societegenerale.com	Commercial Banking	Banking and Financial Services
Standard Chartered	https://www.sc.com	Commercial Banking	Banking and Financial Services
UniCredit	https://www.unicreditgroup.eu	Commercial Banking	Banking and Financial Services
Scotiabank	https://www.scotiabank.com	Commercial Banking	Banking and Financial Services
Goldman Sachs	https://www.goldmansachs.com	Investment Banking	Banking and Financial Services
Morgan Stanley	https://www.morganstanley.com	Investment Banking	Banking and Financial Services
Lazard	https://www.lazard.com	Investment Banking	Banking and Financial Services
Jefferies Financial Group	https://www.jefferies.com	Investment Banking	Banking and Financial Services
Rothschild & Co	https://www.rothschildandco.com	Investment Banking	Banking and Financial Services
Moelis & Company	https://www.moelis.com	Investment Banking	Banking and Financial Services
PJT Partners	https://www.pjtpartners.com	Investment Banking	Banking and Financial Services
Evercore	https://www.evercore.com	Investment Banking	Banking and Financial Services
Centerview Partners	https://www.centerviewpartners.com	Investment Banking	Banking and Financial Services
Perella Weinberg Partners	https://www.pwpartners.com	Investment Banking	Banking and Financial Services
Greenhill & Co.	https://www.greenhill.com	Investment Banking	Banking and Financial Services
Houlihan Lokey	https://www.hl.com	Investment Banking	Banking and Financial Services
Guggenheim Partners	https://www.guggenheimpartners.com	Investment Banking	Banking and Financial Services
Cowen Inc.	https://www.cowen.com	Investment Banking	Banking and Financial Services
