Industry,Company Name,HQ Country,Website,Employee Count,Revenue Estimate,Founded,Company Size,Specialization Tags,Status
Meat Processing,JBS S.A.,Brazil,https://www.jbs.com.br,"270,000+","$65B+",1953,Conglomerate,"Beef, Poultry, Pork",Verified
Meat Processing,Tyson Foods,USA,https://www.tysonfoods.com,"142,000+","$53B+",1935,Conglomerate,"Chicken, Beef, Pork",Verified
Meat Processing,Cargill Meat Solutions,USA,https://www.cargill.com,"160,000+","$165B+",1865,Conglomerate,"Beef, Poultry, Protein",Verified
Meat Processing,WH Group (Smithfield),China,https://www.wh-group.com,"120,000+","$26B+",1958,Large Enterprise,"Pork Production & Processing",Verified
Meat Processing,BRF S.A.,Brazil,https://www.brf-global.com,"100,000+","$8B+",1934,Large Enterprise,"Poultry, Processed Foods",Verified
Meat Processing,NH Foods,Japan,https://www.nh-foods.com,"23,000+","$9B+",1942,Large Enterprise,"Beef, Pork, Processed Meats",Verified
Meat Processing,Vion Food Group,Netherlands,https://vionfoodgroup.com,"12,000+","$5B+",1928,Large Enterprise,"Pork, Beef",Verified
Meat Processing,Hormel Foods,USA,https://www.hormelfoods.com,"20,000+","$12B+",1891,Large Enterprise,"Processed Meats, Shelf-Stable Foods",Verified
Meat Processing,Minerva Foods,Brazil,https://www.minervafoods.com,"30,000+","$3B+",1957,Large Enterprise,"Beef Exports, Leather",Verified
Meat Processing,Seaboard Corporation,USA,https://www.seaboardcorp.com,"12,000+","$9B+",1918,Large Enterprise,"Pork, Commodity Trading",Verified
Meat Processing,Perdue Farms,USA,https://www.perduefarms.com,"21,000+","$8B+",1920,Large Enterprise,"Poultry, Pork",Verified
Meat Processing,Sanderson Farms,USA,https://www.sandersonfarms.com,"17,000+","$4B+",1947,Large Enterprise,"Poultry",Verified
Meat Processing,Marfrig Global Foods,Brazil,https://www.marfrig.com,"32,000+","$5B+",2000,Large Enterprise,"Beef, Burgers",Verified
Meat Processing,Nippon Ham,Japan,https://www.nipponham-group.com,"24,000+","$6B+",1949,Large Enterprise,"Pork, Ham, Sausages",Verified
Meat Processing,OSI Group,USA,https://www.osigroup.com,"20,000+","$7B+",1909,Large Enterprise,"Custom Food Solutions, Value-Added Meats",Verified
Meat Processing,Bell Food Group,Switzerland,https://www.bellfoodgroup.com,"12,000+","$4B+",1869,Large Enterprise,"Pork, Poultry, Convenience",Verified
Meat Processing,Cranswick plc,UK,https://www.cranswick.co.uk,"13,000+","$2.5B+",1970,Large Enterprise,"Fresh Pork, Poultry, Convenience",Verified
Meat Processing,Tönnies Group,Germany,https://www.toennies.de,"16,000+","$7B+",1971,Large Enterprise,"Pork, Sausages",Verified
