Industry,Company Name,HQ Country,Website,Employee Count,Revenue Estimate,Founded,Company Size,Specialization Tags,Status
Life Insurance,Prudential Financial,USA,https://www.prudential.com,"40,000+","$60B+",1875,Large Enterprise,"Life Insurance, Annuities, Retirement",Verified
Life Insurance,MetLife,USA,https://www.metlife.com,"45,000+","$70B+",1868,Large Enterprise,"Life, Dental, Employee Benefits",Verified
Life Insurance,AIA Group,Hong Kong,https://www.aia.com,"20,000+","$40B+",1919,Large Enterprise,"Pan-Asian Life Insurance, Wealth Management",Verified
Life Insurance,Manulife,Canada,https://www.manulife.com,"38,000+","$50B+",1887,Large Enterprise,"Life, Health, Wealth, Asset Management",Verified
Life Insurance,New York Life,USA,https://www.newyorklife.com,"60,000+","$35B+",1845,Large Enterprise,"Mutual Life Insurance, Investments",Verified
Life Insurance,Legal & General,UK,https://www.legalandgeneral.com,"10,000+","$80B+",1836,Large Enterprise,"Life Insurance, Pensions, Investments",Verified
Life Insurance,MassMutual,USA,https://www.massmutual.com,"10,000+","$35B+",1851,Large Enterprise,"Life Insurance, Financial Planning",Verified
Life Insurance,Sumitomo Life,Japan,https://www.sumitomolife.co.jp,"20,000+","$30B+",1907,Large Enterprise,"Life Insurance, Annuities",Verified
Life Insurance,Nippon Life,Japan,https://www.nissay.co.jp,"70,000+","$90B+",1889,Large Enterprise,"Life Insurance, Asset Management",Verified
Life Insurance,Swiss Life,Switzerland,https://www.swisslife.com,"10,000+","$25B+",1857,Large Enterprise,"Life Insurance, Pensions, Investments",Verified
Life Insurance,Aviva,UK,https://www.aviva.com,"30,000+","$50B+",1696,Large Enterprise,"Life, General Insurance, Wealth",Verified
Life Insurance,Aegon,Netherlands,https://www.aegon.com,"25,000+","$60B+",1844,Large Enterprise,"Life Insurance, Pensions, Asset Management",Verified
Life Insurance,Principal Financial,USA,https://www.principal.com,"20,000+","$15B+",1879,Large Enterprise,"Retirement, Insurance, Asset Management",Verified
Life Insurance,Generali Group,Italy,https://www.generali.com,"80,000+","$100B+",1831,Large Enterprise,"Life & P&C Insurance, Asset Management",Verified
Life Insurance,Brighthouse Financial,USA,https://www.brighthousefinancial.com,"2,000+","$10B+",2017,Large Enterprise,"Annuities, Life Insurance",Verified
