Industry,Company Name,HQ Country,Website,Employee Count,Revenue Estimate,Founded,Company Size,Specialization Tags,Status
Industrial Gases,Linde plc,UK,https://www.linde.com,"80,000+","$33B+",1879,Large Enterprise,"Industrial & Medical Gases, Engineering",Verified
Industrial Gases,Air Liquide,France,https://www.airliquide.com,"67,000+","$28B+",1902,Large Enterprise,"Industrial & Medical Gases, Hydrogen",Verified
Industrial Gases,Air Products & Chemicals,USA,https://www.airproducts.com,"23,000+","$12B+",1940,Large Enterprise,"Industrial Gases, Performance Materials",Verified
Industrial Gases,Taiyo Nippon Sanso Corporation,Japan,https://www.tn-sanso.com,"20,000+","$7B+",1910,Large Enterprise,"Industrial Gases, Electronics",Verified
Industrial Gases,Messer Group,Germany,https://www.messergroup.com,"11,000+","$4B+",1898,Large Enterprise,"Industrial & Specialty Gases",Verified
Industrial Gases,Yingde Gases Group,China,https://www.yingdegas.com,"5,000+","$1B+",2001,Large Enterprise,"On-site Gas Supply, Bulk Gases",Verified
Industrial Gases,Gulf Cryo,Kuwait,https://www.gulfcryo.com,"2,000+","$500M+",1953,Medium Enterprise,"Industrial & Medical Gases, Middle East",Verified
Industrial Gases,Sol Group,Italy,https://www.solgroup.com,"4,500+","$1.5B+",1927,Large Enterprise,"Industrial & Medical Gases, Europe",Verified
Industrial Gases,Southern Gas,India,https://www.southerngas.co.in,"1,000+","$200M+",1962,Medium Enterprise,"Industrial Gases, Cylinder Filling",Verified
Industrial Gases,INOX Air Products,India,https://www.inoxairproducts.com,"2,500+","$500M+",1999,Medium Enterprise,"Cryogenic Gases, On-site Solutions",Verified
Industrial Gases,Nippon Gases,Spain,https://www.nippongases.com,"2,000+","$600M+",1999,Medium Enterprise,"Industrial Gases, Iberian Market",Verified
Industrial Gases,SIAD Group,Italy,https://www.siad.com,"1,500+","$400M+",1927,Medium Enterprise,"Industrial & Medical Gases",Verified
Industrial Gases,Hangzhou Hangyang,China,https://www.hangyang.com,"2,000+","$500M+",1950,Medium Enterprise,"Cryogenic Equipment & Gases",Verified
Industrial Gases,Air Water Inc.,Japan,https://www.awi.co.jp,"13,000+","$6B+",1928,Large Enterprise,"Industrial Gases, Chemicals, Healthcare",Verified
Industrial Gases,Suzhou Jinhong Gas,China,https://www.sjgas.com,"1,000+","$300M+",1999,Medium Enterprise,"Specialty Gases, Electronics",Verified
Industrial Gases,Gulf Industrial Gases,Bahrain,https://www.gigbh.com,"500+","$100M+",1977,Small Enterprise,"Industrial Gases, GCC Region",Verified
Industrial Gases,Matheson Tri-Gas,USA,https://www.mathesongas.com,"1,500+","$800M+",1927,Medium Enterprise,"Specialty & Electronic Gases",Verified
Industrial Gases,Chemix Gases,India,https://www.chemixgases.com,"300+","$50M+",1985,Small Enterprise,"Industrial & Medical Gases",Verified
Industrial Gases,Buzwair Industrial Gases,Qatar,https://www.buzwairgases.com,"700+","$150M+",1958,Medium Enterprise,"Industrial Gases, Qatar Market",Verified
Industrial Gases,Universal Industrial Gases,USA,https://www.uigi.com,"100+","$25M+",1967,Small Enterprise,"Cryogenic Plant Design, Gases",Verified
Petrochemicals,BASF SE,Germany,https://www.basf.com,"111,000+","$87B+",1865,Conglomerate,"Chemicals, Plastics, Performance Products",Verified
Petrochemicals,Dow Chemical Company,USA,https://www.dow.com,"37,000+","$57B+",1897,Large Enterprise,"Plastics, Chemicals, Agricultural Sciences",Verified
Petrochemicals,SABIC,Saudi Arabia,https://www.sabic.com,"31,000+","$41B+",1976,Large Enterprise,"Petrochemicals, Agri-Nutrients, Metals",Verified
Petrochemicals,LyondellBasell,Netherlands,https://www.lyondellbasell.com,"19,000+","$46B+",1953,Large Enterprise,"Polymers, Chemicals, Refining",Verified
Petrochemicals,INEOS Group,UK,https://www.ineos.com,"26,000+","$65B+",1998,Large Enterprise,"Chemicals, Polymers, Oil & Gas",Verified
Petrochemicals,ExxonMobil Chemical,USA,https://www.exxonmobilchemical.com,"71,000+","$413B+",1882,Conglomerate,"Petrochemicals, Plastics, Synthetic Lubricants",Verified
Petrochemicals,Shell Chemicals,Netherlands,https://www.shell.com/chemicals,"82,000+","$386B+",1907,Conglomerate,"Base Chemicals, Performance Products",Verified
Petrochemicals,Formosa Plastics Corporation,Taiwan,https://www.fpc.com.tw,"10,000+","$8B+",1954,Large Enterprise,"Plastics, Petrochemicals, Fibers",Verified
Petrochemicals,Reliance Industries,India,https://www.ril.com,"250,000+","$100B+",1960,Conglomerate,"Petrochemicals, Refining, Oil & Gas",Verified
Petrochemicals,LG Chem,South Korea,https://www.lgchem.com,"31,000+","$42B+",1947,Large Enterprise,"Petrochemicals, Batteries, Advanced Materials",Verified
Petrochemicals,Sumitomo Chemical,Japan,https://www.sumitomo-chem.co.jp,"33,000+","$24B+",1913,Large Enterprise,"Petrochemicals, Pharmaceuticals, Agrochemicals",Verified
Petrochemicals,Mitsubishi Chemical Holdings,Japan,https://www.mitsubishichem-hd.co.jp,"70,000+","$33B+",2005,Large Enterprise,"Performance Products, Industrial Materials",Verified
Petrochemicals,Sinopec Chemical,China,https://www.sinopec.com,"553,000+","$471B+",2000,Large Enterprise,"Petrochemicals, Refining, Marketing",Verified
Petrochemicals,Borealis AG,Austria,https://www.borealisgroup.com,"6,900+","$12B+",1994,Large Enterprise,"Polyolefins, Base Chemicals, Fertilizers",Verified
Petrochemicals,Brantigel,Belgium,https://www.brantigel.com,"N/A","N/A",,Unknown,Unknown,Unverified
Petrochemicals,Braskem,Brazil,https://www.braskem.com,"8,000+","$18B+",2002,Large Enterprise,"Thermoplastics, Green Polyethylene",Verified
Petrochemicals,Hanwha Solutions Chemical,South Korea,https://www.hanwhasolutions.com,"12,000+","$30B+",1965,Large Enterprise,"Petrochemicals, Solar Energy, Advanced Materials",Verified
Petrochemicals,PTT Global Chemical,Thailand,https://www.pttgcgroup.com,"5,000+","$15B+",2011,Large Enterprise,"Olefins, Aromatics, Performance Chemicals",Verified
Petrochemicals,Lotte Chemical,South Korea,https://www.lottechem.com,"7,000+","$20B+",1976,Large Enterprise,"Petrochemicals, Base Chemicals",Verified
Specialty Chemicals,Evonik Industries,Germany,https://www.evonik.com,"34,000+","$19B+",1843,Large Enterprise,"Specialty Additives, Nutrition & Care",Verified
Specialty Chemicals,Clariant AG,Switzerland,https://www.clariant.com,"11,000+","$5B+",1995,Large Enterprise,"Catalysts, Additives, Care Chemicals",Verified
Specialty Chemicals,Albemarle Corporation,USA,https://www.albemarle.com,"7,000+","$9B+",1887,Large Enterprise,"Lithium, Bromine, Catalysts",Verified
Specialty Chemicals,DuPont de Nemours,USA,https://www.dupont.com,"28,000+","$13B+",2017,Large Enterprise,"Electronics, Water, Protection, Industrial Tech",Verified
Specialty Chemicals,Solvay SA,Belgium,https://www.solvay.com,"23,000+","$14B+",1863,Large Enterprise,"Advanced Materials, Composites, Silica",Verified
Specialty Chemicals,AkzoNobel Specialty Chemicals,Netherlands,https://www.akzonobel.com,"32,000+","$11B+",1792,Large Enterprise,"Paints, Coatings, Specialty Chemicals",Verified
Specialty Chemicals,PPG Industries,USA,https://www.ppg.com,"50,000+","$18B+",1883,Large Enterprise,"Paints, Coatings, Optical Products",Verified
Specialty Chemicals,Ashland Global Holdings,USA,https://www.ashland.com,"4,000+","$2B+",1924,Medium Enterprise,"Pharma, Personal Care, Coatings",Verified
Specialty Chemicals,Lanxess AG,Germany,https://www.lanxess.com,"13,000+","$8B+",2004,Large Enterprise,"Specialty Chemicals, Engineering Plastics",Verified
Specialty Chemicals,Celanese Corporation,USA,https://www.celanese.com,"8,500+","$9B+",1918,Large Enterprise,"Acetyl Chain, Engineered Materials",Verified
Specialty Chemicals,Croda International,UK,https://www.croda.com,"6,000+","$2B+",1925,Large Enterprise,"Personal Care, Life Sciences, Crop Care",Verified
Specialty Chemicals,Ecolab Inc.,USA,https://www.ecolab.com,"47,000+","$15B+",1923,Large Enterprise,"Water, Hygiene, Infection Prevention",Verified
Specialty Chemicals,Huntsman Corporation,USA,https://www.huntsman.com,"9,000+","$8B+",1970,Large Enterprise,"Polyurethanes, Performance Products",Verified
Specialty Chemicals,Element Solutions Inc.,USA,https://www.elementsolutionsinc.com,"3,500+","$2B+",2018,Medium Enterprise,"Electronics, Industrial & Specialty",Verified
Specialty Chemicals,RPM International Inc.,USA,https://www.rpminc.com,"15,000+","$7B+",1947,Large Enterprise,"Coatings, Sealants, Building Materials",Verified
Specialty Chemicals,Stepan Company,USA,https://www.stepan.com,"2,200+","$2B+",1932,Medium Enterprise,"Surfactants, Polyols, Specialty Products",Verified
Specialty Chemicals,IMCD Group,Netherlands,https://www.imcdgroup.com,"4,000+","$5B+",1995,Large Enterprise,"Specialty Chemicals Distribution",Verified
Specialty Chemicals,Wacker Chemie AG,Germany,https://www.wacker.com,"14,500+","$7B+",1914,Large Enterprise,"Silicones, Polymers, Biosolutions",Verified
Specialty Chemicals,Sika AG,Switzerland,https://www.sika.com,"27,000+","$13B+",1910,Large Enterprise,"Construction Systems, Industrial Bonding",Verified
Fertilizers & Agrochemicals,Nutrien Ltd,Canada,https://www.nutrien.com,"23,000+","$28B+",2018,Large Enterprise,"Potash, Nitrogen, Phosphate, Crop Services",Verified
Fertilizers & Agrochemicals,Yara International,Norway,https://www.yara.com,"17,000+","$17B+",1905,Large Enterprise,"Nitrogen Fertilizers, Ammonia, Nitrates",Verified
Fertilizers & Agrochemicals,Mosaic Company,USA,https://www.mosaicco.com,"13,000+","$12B+",2004,Large Enterprise,"Potash, Phosphate, Micro-nutrients",Verified
Fertilizers & Agrochemicals,CF Industries Holdings,USA,https://www.cfindustries.com,"2,700+","$6B+",1946,Large Enterprise,"Nitrogen Fertilizers, Ammonia, UAN",Verified
Fertilizers & Agrochemicals,ICL Group,Israel,https://www.icl-group.com,"12,500+","$7B+",1968,Large Enterprise,"Potash, Phosphates, Specialty Minerals",Verified
Fertilizers & Agrochemicals,K+S Group,Germany,https://www.k-plus-s.com,"11,000+","$4B+",1889,Large Enterprise,"Potash, Magnesium, Salt",Verified
Fertilizers & Agrochemicals,OCP Group,Morocco,https://www.ocpgroup.ma,"21,000+","$9B+",1920,Large Enterprise,"Phosphate Rock, Fertilizers",Verified
Fertilizers & Agrochemicals,Uralkali,Russia,https://www.uralkali.com,"11,000+","$3B+",1930,Large Enterprise,"Potash Fertilizers",Verified
Fertilizers & Agrochemicals,PhosAgro,Russia,https://www.phosagro.ru,"17,000+","$4B+",2001,Large Enterprise,"Phosphate-Based Fertilizers",Verified
Fertilizers & Agrochemicals,Indian Farmers Fertiliser Cooperative (IFFCO),India,https://www.iffco.in,"35,000+","$10B+",1967,Large Enterprise,"Fertilizers, Agri-inputs, Cooperative",Verified
Fertilizers & Agrochemicals,Coromandel International,India,https://www.coromandel.biz,"4,000+","$2B+",1961,Medium Enterprise,"Fertilizers, Crop Protection, Retail",Verified
Fertilizers & Agrochemicals,Sinofert Holdings,China,https://www.sinofert.com,"3,000+","$3B+",2005,Medium Enterprise,"Fertilizer Production & Distribution",Verified
Fertilizers & Agrochemicals,Haifa Group,Israel,https://www.haifa-group.com,"1,800+","$700M+",1966,Medium Enterprise,"Potassium Nitrate, Specialty Fertilizers",Verified
Fertilizers & Agrochemicals,EuroChem Group,Switzerland,https://www.eurochemgroup.com,"27,000+","$7B+",2001,Large Enterprise,"Nitrogen, Phosphate, Potash",Verified
Fertilizers & Agrochemicals,Wilbur-Ellis Agribusiness,USA,https://www.wilburellis.com,"4,000+","$3B+",1921,Medium Enterprise,"Crop Protection, Nutrition, Agribusiness",Verified
Fertilizers & Agrochemicals,SQM (Sociedad Química y Minera),Chile,https://www.sqm.com,"5,700+","$3B+",1968,Large Enterprise,"Lithium, Iodine, Plant Nutrients",Verified
Fertilizers & Agrochemicals,Sumitomo Chemical Agrosciences,Japan,https://www.sumitomo-chem.co.jp,"33,000+","$24B+",1913,Large Enterprise,"Agrochemicals, Pesticides, Seeds",Verified
Fertilizers & Agrochemicals,Bayer CropScience,Germany,https://www.bayer.com,"99,000+","$51B+",1863,Conglomerate,"Seeds, Crop Protection, Biotechnology",Verified
Paints & Coatings,Sherwin-Williams Company,USA,https://www.sherwin-williams.com,"64,000+","$23B+",1866,Large Enterprise,"Architectural, Industrial, Automotive Coatings",Verified
Paints & Coatings,AkzoNobel Paints,Netherlands,https://www.akzonobel.com,"32,000+","$11B+",1792,Large Enterprise,"Decorative Paints, Performance Coatings",Verified
Paints & Coatings,PPG Industries,USA,https://www.ppg.com,"50,000+","$18B+",1883,Large Enterprise,"Coatings, Paints, Optical Products",Verified
Paints & Coatings,Nippon Paint Holdings,Japan,https://www.nipponpaint-holdings.com,"26,000+","$10B+",1881,Large Enterprise,"Automotive, Decorative, Industrial Coatings",Verified
Paints & Coatings,RPM International (Rust-Oleum),USA,https://www.rpminc.com,"15,000+","$7B+",1947,Large Enterprise,"Protective Coatings, Sealants, Adhesives",Verified
Paints & Coatings,Asian Paints,India,https://www.asianpaints.com,"7,000+","$3B+",1942,Large Enterprise,"Decorative Paints, Home Decor",Verified
Paints & Coatings,Kansai Paint Co.,Japan,https://www.kansai.co.jp,"16,000+","$4B+",1918,Large Enterprise,"Automotive, Industrial, Decorative Coatings",Verified
Paints & Coatings,Jotun Group,Norway,https://www.jotun.com,"10,000+","$3B+",1926,Large Enterprise,"Protective, Marine, Powder Coatings",Verified
Paints & Coatings,Basf Coatings,Germany,https://www.basf.com,"111,000+","$87B+",1865,Conglomerate,"Automotive OEM, Refinish, Industrial Coatings",Verified
Paints & Coatings,Axalta Coating Systems,USA,https://www.axalta.com,"12,000+","$5B+",1866,Large Enterprise,"Liquid & Powder Coatings, Refinish",Verified
Paints & Coatings,Beckers Group,Germany,https://www.beckers-group.com,"1,500+","$700M+",1865,Medium Enterprise,"Coil, Industrial, Consumer Coatings",Verified
Paints & Coatings,Hempel A/S,Denmark,https://www.hempel.com,"7,000+","$2B+",1915,Large Enterprise,"Protective, Marine, Decorative Coatings",Verified
Paints & Coatings,Berger Paints India,India,https://www.bergerpaints.com,"3,500+","$1B+",1923,Medium Enterprise,"Decorative, Industrial, Automotive Paints",Verified
Paints & Coatings,KCC Corporation,South Korea,https://www.kccworld.co.kr,"4,000+","$2B+",1958,Medium Enterprise,"Paints, Building Materials, Insulation",Verified
Paints & Coatings,Shalimar Paints,India,https://www.shalimarpaints.com,"500+","$50M+",1902,Small Enterprise,"Decorative, Industrial, Automotive Paints",Verified
Paints & Coatings,Tikkurila (PPG),Finland,https://www.tikkurila.com,"2,700+","$600M+",1862,Medium Enterprise,"Decorative Paints, Industrial Coatings",Verified
Paints & Coatings,DuluxGroup (Nippon Paint),Australia,https://www.duluxgroup.com.au,"4,000+","$1B+",1918,Medium Enterprise,"Decorative Paints, Coatings, Adhesives",Verified
Paints & Coatings,Sacal Paints International,UAE,https://www.sacalpaints.com,"200+","$30M+",1979,Small Enterprise,"Decorative, Protective, Marine Coatings",Verified
Adhesives & Sealants,Henkel AG & Co. KGaA,Germany,https://www.henkel.com,"50,000+","$23B+",1876,Large Enterprise,"Adhesives, Sealants, Surface Technologies",Verified
Adhesives & Sealants,3M Industrial Adhesives,USA,https://www.3m.com,"92,000+","$34B+",1902,Conglomerate,"Industrial Adhesives, Tapes, Bonding",Verified
Adhesives & Sealants,H.B. Fuller Company,USA,https://www.hbfuller.com,"6,500+","$3B+",1887,Large Enterprise,"Adhesives, Sealants, Other Specialty Chemicals",Verified
Adhesives & Sealants,Sika AG,Switzerland,https://www.sika.com,"27,000+","$13B+",1910,Large Enterprise,"Construction Adhesives, Sealants, Waterproofing",Verified
Adhesives & Sealants,Arkema Group (Bostik),France,https://www.bostik.com,"20,500+","$11B+",2004,Large Enterprise,"Adhesives, Sealants, Flooring",Verified
Adhesives & Sealants,Dow Adhesives,USA,https://www.dow.com,"37,000+","$57B+",1897,Large Enterprise,"Industrial Adhesives, Polymers",Verified
Adhesives & Sealants,Avery Dennison Corporation,USA,https://www.averydennison.com,"30,000+","$8B+",1935,Large Enterprise,"Pressure-Sensitive Adhesives, Materials",Verified
Adhesives & Sealants,Ashland Adhesives,USA,https://www.ashland.com,"4,000+","$2B+",1924,Medium Enterprise,"Specialty Adhesives, Composites",Verified
Adhesives & Sealants,Illinois Tool Works (ITW),USA,https://www.itw.com,"46,000+","$16B+",1912,Large Enterprise,"Engineering Adhesives, Polymers",Verified
Adhesives & Sealants,LORD Corporation,USA,https://www.lord.com,"3,200+","$1B+",1924,Medium Enterprise,"Adhesives, Coatings, Vibration Management",Verified
Adhesives & Sealants,Pidilite Industries,India,https://www.pidilite.com,"4,000+","$1B+",1959,Medium Enterprise,"Consumer Adhesives, Construction Chemicals",Verified
Adhesives & Sealants,ThreeBond Holdings,Japan,https://www.threebond.co.jp,"4,000+","$1B+",1957,Medium Enterprise,"Sealants, Adhesives, Lubricants",Verified
Adhesives & Sealants,Toagosei Co.,Japan,https://www.toagosei.co.jp,"3,500+","$1B+",1917,Medium Enterprise,"Cyanoacrylate Adhesives, Acrylic Resins",Verified
Adhesives & Sealants,Jowat SE,Germany,https://www.jowat.com,"1,000+","$300M+",1919,Medium Enterprise,"Industrial Adhesives, Hot Melts",Verified
Adhesives & Sealants,Soudal Group,Belgium,https://www.soudal.com,"2,500+","$500M+",1966,Medium Enterprise,"Sealants, Adhesives, PU Foams",Verified
Adhesives & Sealants,Weicon GmbH & Co. KG,Germany,https://www.weicon.com,"300+","$100M+",1947,Small Enterprise,"Specialty Adhesives, Sealants, Lubricants",Verified
Adhesives & Sealants,Beardow Adams,UK,https://www.beardowadams.com,"200+","$50M+",1974,Small Enterprise,"Hot Melt Adhesives",Verified
Adhesives & Sealants,Permabond Engineering Adhesives,USA,https://www.permabond.com,"500+","$100M+",1964,Small Enterprise,"Anaerobic, Cyanoacrylate, Epoxy Adhesives",Verified
Adhesives & Sealants,Loxeal Engineering Adhesives,Italy,https://www.loxeal.com,"100+","$20M+",1979,Small Enterprise,"Industrial Adhesives, Sealants",Verified
Synthetic Rubber,Arlanxeo (Saudi Aramco),Netherlands,https://www.arlanxeo.com,"3,800+","$3B+",2016,Large Enterprise,"Performance Elastomers, Synthetic Rubber",Verified
Synthetic Rubber,Kumho Petrochemical,South Korea,https://www.kkpc.com,"2,500+","$4B+",1970,Medium Enterprise,"Synthetic Rubber, Resins",Verified
Synthetic Rubber,LG Chem,South Korea,https://www.lgchem.com,"31,000+","$42B+",1947,Large Enterprise,"Synthetic Rubber, ABS, Petrochemicals",Verified
Synthetic Rubber,JSR Corporation,Japan,https://www.jsr.co.jp,"9,000+","$4B+",1957,Large Enterprise,"Elastomers, Plastics, Electronic Materials",Verified
Synthetic Rubber,Zeon Corporation,Japan,https://www.zeon.co.jp,"3,500+","$3B+",1950,Medium Enterprise,"Specialty Elastomers, Chemicals",Verified
Synthetic Rubber,Synthos S.A.,Poland,https://www.synthosgroup.com,"3,000+","$2B+",1945,Medium Enterprise,"Synthetic Rubber, Latex, Polystyrene",Verified
Synthetic Rubber,TSRC Corporation,Taiwan,https://www.tsrc.com.tw,"2,000+","$1B+",1973,Medium Enterprise,"SBR, BR, TPEs",Verified
Synthetic Rubber,Versalis (Eni),Italy,https://www.versalis.eni.com,"5,000+","$7B+",2012,Large Enterprise,"Elastomers, Plastics, Base Chemicals",Verified
Synthetic Rubber,Lion Elastomers,USA,https://www.lionelastomers.com,"500+","$200M+",1972,Small Enterprise,"EPDM, SBR, Specialty Elastomers",Verified
Synthetic Rubber,ExxonMobil Chemical Rubber,USA,https://www.exxonmobilchemical.com,"71,000+","$413B+",1882,Conglomerate,"Butyl, EPDM, Vistalon",Verified
Synthetic Rubber,Goodyear Tire & Rubber,USA,https://www.goodyear.com,"72,000+","$20B+",1898,Large Enterprise,"Tires, Synthetic Rubber",Verified
Synthetic Rubber,Bridgestone Corporation,Japan,https://www.bridgestone.com,"138,000+","$33B+",1931,Large Enterprise,"Tires, Synthetic Rubber, Diversified Products",Verified
Synthetic Rubber,Michelin Group,France,https://www.michelin.com,"125,000+","$28B+",1889,Large Enterprise,"Tires, High-Tech Materials",Verified
Synthetic Rubber,PetroChina Synthetic Rubber,China,https://www.petrochina.com.cn,"402,000+","$365B+",1999,Large Enterprise,"SBR, BR, Petrochemicals",Verified
Synthetic Rubber,Indian Synthetic Rubber,India,https://www.isrl.in,"100+","$50M+",2011,Small Enterprise,"Polybutadiene Rubber",Verified
Synthetic Rubber,Apollo Tyres Synthetic Rubber,India,https://www.apollotyres.com,"16,000+","$2B+",1972,Large Enterprise,"Tires, Synthetic Rubber",Verified
Synthetic Rubber,Trinseo,USA,https://www.trinseo.com,"2,300+","$5B+",2010,Medium Enterprise,"Latex, Synthetic Rubber, Plastics",Verified
Synthetic Rubber,Denka Company Limited,Japan,https://www.denka.co.jp,"5,000+","$3B+",1915,Medium Enterprise,"Elastomers, Chemicals, Electronics",Verified
Synthetic Rubber,LANXESS Synthetic Rubber,Germany,https://www.lanxess.com,"13,000+","$8B+",2004,Large Enterprise,"Performance Elastomers, Butyl Rubber",Verified
Plastic Resins,LyondellBasell,Netherlands,https://www.lyondellbasell.com,"19,000+","$46B+",1953,Large Enterprise,"Polyethylene, Polypropylene, Advanced Polymers",Verified
Plastic Resins,Dow Plastics,USA,https://www.dow.com,"37,000+","$57B+",1897,Large Enterprise,"Polyolefins, Performance Plastics",Verified
Plastic Resins,SABIC Polymers,Saudi Arabia,https://www.sabic.com,"31,000+","$41B+",1976,Large Enterprise,"Polyethylene, Polypropylene, Engineering Thermoplastics",Verified
Plastic Resins,INEOS Olefins & Polymers,UK,https://www.ineos.com,"26,000+","$65B+",1998,Large Enterprise,"Polyolefins, Styrenics",Verified
Plastic Resins,BASF Plastics,Germany,https://www.basf.com,"111,000+","$87B+",1865,Conglomerate,"Engineering Plastics, Polyurethanes, Foams",Verified
Plastic Resins,ExxonMobil Polymers,USA,https://www.exxonmobilchemical.com,"71,000+","$413B+",1882,Conglomerate,"Polyethylene, Polypropylene, Vistamaxx",Verified
Plastic Resins,Formosa Plastics Corporation,Taiwan,https://www.fpc.com.tw,"10,000+","$8B+",1954,Large Enterprise,"PVC, Polyolefins, Acrylics",Verified
Plastic Resins,Borealis AG,Austria,https://www.borealisgroup.com,"6,900+","$12B+",1994,Large Enterprise,"Polyolefins, Base Chemicals",Verified
