Industry,Company Name,HQ Country,Website,Employee Count,Revenue Estimate,Founded,Company Size,Specialization Tags,Status
Commercial Banking,JPMorgan Chase & Co.,USA,https://www.jpmorganchase.com,"293,000+","$158B+",1799,Conglomerate,"Consumer Banking, Investment Banking, Asset Management",Verified
Commercial Banking,Industrial and Commercial Bank of China,China,https://www.icbc-ltd.com,"445,000+","$135B+",1984,Conglomerate,"Corporate Banking, Retail Banking, Global",Verified
Commercial Banking,Bank of America,USA,https://www.bankofamerica.com,"217,000+","$98B+",1784,Conglomerate,"Consumer Banking, Wealth Management, Global Banking",Verified
Commercial Banking,HSBC Holdings,UK,https://www.hsbc.com,"219,000+","$66B+",1865,Conglomerate,"Global Banking, Commercial Banking, Wealth",Verified
Commercial Banking,BNP Paribas,France,https://www.bnpparibas.com,"190,000+","$54B+",1848,Conglomerate,"Retail Banking, Corporate Banking, CIB",Verified
Commercial Banking,Mitsubishi UFJ Financial Group,Japan,https://www.mufg.jp,"160,000+","$47B+",2005,Conglomerate,"Commercial Banking, Trust Banking, Global",Verified
Commercial Banking,Citigroup,USA,https://www.citigroup.com,"240,000+","$78B+",1812,Conglomerate,"Institutional Banking, Consumer Banking, Global",Verified
Commercial Banking,Wells Fargo,USA,https://www.wellsfargo.com,"227,000+","$82B+",1852,Conglomerate,"Consumer Banking, Commercial Banking, Lending",Verified
Commercial Banking,Santander Group,Spain,https://www.santander.com,"193,000+","$58B+",1857,Conglomerate,"Retail Banking, Europe, Latin America",Verified
Commercial Banking,Barclays,UK,https://www.barclays.com,"83,000+","$28B+",1690,Conglomerate,"Investment Banking, Consumer Banking, Cards",Verified
Commercial Banking,Deutsche Bank,Germany,https://www.db.com,"84,000+","$28B+",1870,Conglomerate,"Corporate Bank, Investment Bank, Private Bank",Verified
Commercial Banking,TD Bank Group,Canada,https://www.td.com,"95,000+","$48B+",1855,Conglomerate,"Retail Banking, North America, Wholesale",Verified
Commercial Banking,Commonwealth Bank,Australia,https://www.commbank.com.au,"49,000+","$25B+",1911,Conglomerate,"Retail Banking, Business Banking, Institutional",Verified
Commercial Banking,UBS Group,Switzerland,https://www.ubs.com,"74,000+","$39B+",1862,Conglomerate,"Wealth Management, Investment Banking, Asset Mgmt",Verified
Commercial Banking,Crédit Agricole,France,https://www.credit-agricole.com,"142,000+","$30B+",1894,Conglomerate,"Retail Banking, Insurance, Asset Management",Verified
Commercial Banking,ING Group,Netherlands,https://www.ing.com,"57,000+","$21B+",1991,Conglomerate,"Retail Banking, Wholesale Banking, Digital",Verified
Commercial Banking,Société Générale,France,https://www.societegenerale.com,"117,000+","$29B+",1864,Conglomerate,"Retail Banking, Financial Services, CIB",Verified
Commercial Banking,Standard Chartered,UK,https://www.sc.com,"85,000+","$18B+",1969,Conglomerate,"Corporate & Institutional Banking, Retail",Verified
Commercial Banking,UniCredit,Italy,https://www.unicreditgroup.eu,"74,000+","$22B+",1998,Conglomerate,"Commercial Banking, CIB, Central & Eastern Europe",Verified
Commercial Banking,Scotiabank,Canada,https://www.scotiabank.com,"91,000+","$31B+",1832,Conglomerate,"International Banking, Canadian Banking, Global",Verified
Investment Banking,Goldman Sachs,USA,https://www.goldmansachs.com,"45,000+","$47B+",1869,Conglomerate,"M&A, Securities, Asset Management, Consumer",Verified
Investment Banking,Morgan Stanley,USA,https://www.morganstanley.com,"82,000+","$54B+",1935,Conglomerate,"Wealth Management, Investment Banking, Sales & Trading",Verified
Investment Banking,Lazard,USA,https://www.lazard.com,"3,400+","$3B+",1848,Large Enterprise,"Financial Advisory, Asset Management",Verified
Investment Banking,Jefferies Financial Group,USA,https://www.jefferies.com,"5,800+","$8B+",1962,Large Enterprise,"Full-Service Investment Banking, Equities",Verified
Investment Banking,Rothschild & Co,UK,https://www.rothschildandco.com,"3,800+","$3B+",1810,Large Enterprise,"M&A Advisory, Restructuring, Private Equity",Verified
Investment Banking,Moelis & Company,USA,https://www.moelis.com,"950+","$1B+",2007,Medium Enterprise,"Independent Advisory, Restructuring",Verified
