Industry,Company Name,HQ Country,Website,Employee Count,Revenue Estimate,Founded,Company Size,Specialization Tags,Status
Air Cargo,FedEx Express,USA,https://www.fedex.com,"547,000+","$88B+",1971,Conglomerate,"Express Shipping, Freight, Logistics",Verified
Air Cargo,United Parcel Service (UPS),USA,https://www.ups.com,"500,000+","$91B+",1907,Conglomerate,"Package Delivery, Supply Chain, Logistics",Verified
Air Cargo,DHL Aviation,Germany,https://www.dhl.com,"600,000+ (Group)","$90B+ (Group)",1969,Conglomerate,"International Express, Logistics, Forwarding",Verified
Air Cargo,Cathay Pacific Cargo,Hong Kong,https://www.cathaypacificcargo.com,"23,000+ (Group)","$2.1B+ (Cargo)",1946,Large Enterprise,"Perishables, Pharma, Electronics",Verified
Air Cargo,Lufthansa Cargo,Germany,https://www.lufthansa-cargo.com,"109,000+ (Group)","$1.9B+ (Cargo)",1926,Large Enterprise,"Pharma, Live Animals, Aerospace",Verified
Air Cargo,Emirates SkyCargo,UAE,https://www.emirates.com,"112,000+ (Group)","$5.8B+ (Cargo)",1985,Large Enterprise,"Perishables, Pharma, High-Value Goods",Verified
Air Cargo,Singapore Airlines Cargo,Singapore,https://www.siacargo.com,"12,400+ (Group)","$1.3B+ (Cargo)",1972,Large Enterprise,"Perishables, Tech, Cargo Hub",Verified
Air Cargo,Qatar Airways Cargo,Qatar,https://www.qrcargo.com,"45,000+ (Group)","$21B+ (Group)",1993,Large Enterprise,"General Cargo, Express, Pharma",Verified
Air Cargo,Korean Air Cargo,South Korea,https://www.koreanair.com,"19,000+ (Group)","$2B+ (Cargo)",1962,Large Enterprise,"Electronics, Pharma, Live Animals",Verified
Air Cargo,Cargolux,Luxembourg,https://www.cargolux.com,"2,000+","$2.5B+",1970,Large Enterprise,"Outsized Cargo, Charter, General",Verified
Air Cargo,Atlas Air,USA,https://www.atlasair.com,"4,500+","$3.5B+",1992,Large Enterprise,"ACMI Leasing, Charter, Cargo",Verified
Air Cargo,Air France-KLM Cargo,France,https://www.airfranceklmcargo.com,"84,000+ (Group)","$32B+ (Group)",2004,Large Enterprise,"Network Cargo, Pharma, Perishables",Verified
Air Cargo,Turkish Cargo,Turkey,https://www.turkishcargo.com,"40,000+ (Group)","$5B+ (Est. Cargo)",1933,Large Enterprise,"General Cargo, Express, E-commerce",Verified
Air Cargo,EVA Air Cargo,Taiwan,https://www.evaair.com,"11,000+","$1B+ (Est. Cargo)",1989,Large Enterprise,"Tech, General Cargo, Regional",Verified
Air Cargo,ANA Cargo,Japan,https://www.ana.co.jp,"43,000+ (Group)","$1.5B+ (Est. Cargo)",1952,Large Enterprise,"Automotive, Pharma, General",Verified
Air Cargo,China Southern Cargo,China,https://www.csair.com,"100,000+ (Group)","$3B+ (Est. Cargo)",1988,Conglomerate,"Domestic & International Cargo",Verified
Air Cargo,Etihad Cargo,UAE,https://www.etihadcargo.com,"22,000+ (Group)","$1B+ (Est. Cargo)",2003,Large Enterprise,"Pharma, Perishables, General",Verified
Air Cargo,Asiana Cargo,South Korea,https://us.flyasiana.com,"10,000+ (Group)","$800M+ (Est. Cargo)",1988,Large Enterprise,"General Cargo, Regional",Verified
Air Cargo,Volga-Dnepr Group,Russia,https://www.volga-dnepr.com,"1,500+","$1B+",1990,Large Enterprise,"Outsized Cargo, Charter, AN-124",Verified
Air Cargo,Longtail Aviation,Bermuda,https://www.longtailaviation.com,"<100","$50M+",1999,Small Enterprise,"B747 Charter, ACMI",Verified
Marine Shipping,Maersk Line,Denmark,https://www.maersk.com,"100,000+","$51B+",1904,Conglomerate,"Container Shipping, Logistics, Terminals",Verified
Marine Shipping,MSC (Mediterranean Shipping Company),Switzerland,https://www.msc.com,"200,000+","$28B+",1970,Conglomerate,"Container Shipping, Global Network",Verified
Marine Shipping,COSCO Shipping,China,https://www.coscoshipping.com,"138,000+","$40B+",2016,Conglomerate,"Container Shipping, Ports, Logistics",Verified
Marine Shipping,CMA CGM,France,https://www.cma-cgm.com,"110,000+","$47B+",1978,Conglomerate,"Container Shipping, Logistics, Air Cargo",Verified
Marine Shipping,Hapag-Lloyd,Germany,https://www.hapag-lloyd.com,"14,000+","$20B+",1970,Large Enterprise,"Container Shipping, Liner Services",Verified
Marine Shipping,Evergreen Marine,Taiwan,https://www.evergreen-marine.com,"10,000+","$12B+",1968,Large Enterprise,"Container Liner Services",Verified
Marine Shipping,ONE (Ocean Network Express),Japan,https://www.one-line.com,"8,000+","$16B+",2017,Large Enterprise,"Container Shipping, Liner",Verified
Marine Shipping,Yang Ming Marine Transport,Taiwan,https://www.yangming.com,"4,000+","$8B+",1972,Large Enterprise,"Container Liner Services",Verified
Marine Shipping,HMM (Hyundai Merchant Marine),South Korea,https://www.hmm21.com,"3,000+","$9B+",1976,Large Enterprise,"Container Shipping, Bulk",Verified
Marine Shipping,ZIM Integrated Shipping Services,Israel,https://www.zim.com,"4,000+","$5B+",1945,Large Enterprise,"Niche Trades, Liner Services",Verified
Marine Shipping,Wan Hai Lines,Taiwan,https://www.wanhai.com,"5,000+","$6B+",1965,Large Enterprise,"Intra-Asia Shipping, Liner",Verified
Marine Shipping,PIL (Pacific International Lines),Singapore,https://www.pilship.com,"10,000+","$4B+",1967,Large Enterprise,"Liner Shipping, Logistics",Verified
Marine Shipping,Matson Navigation,USA,https://www.matson.com,"1,200+","$3B+",1882,Large Enterprise,"Pacific Shipping, Logistics",Verified
Marine Shipping,Swire Shipping,Singapore,https://www.swireshipping.com,"1,000+","$1B+",1872,Large Enterprise,"Bulk, Specialist, Liner",Verified
Marine Shipping,Grimaldi Group,Italy,https://www.grimaldi.napoli.it,"7,000+","$3B+",1947,Large Enterprise,"Ro-Ro, Passenger Ferries",Verified
Marine Shipping,K Line (Kawasaki Kisen Kaisha),Japan,https://www.kline.com,"6,000+","$8B+",1919,Large Enterprise,"Bulk, Car Carriers, Energy",Verified
Marine Shipping,NYK Line (Nippon Yusen Kabushiki Kaisha),Japan,https://www.nyk.com,"35,000+","$20B+",1885,Conglomerate,"Bulk, Containers, Car Carriers",Verified
Marine Shipping,MOL (Mitsui O.S.K. Lines),Japan,https://www.mol.co.jp,"9,000+","$12B+",1884,Large Enterprise,"Bulk, Containers, LNG",Verified
Marine Shipping,CSL Group,Canada,https://www.cslgroup.com,"2,000+","$1B+",1913,Large Enterprise,"Bulk Shipping, Self-Unloaders",Verified
Rail Freight,Union Pacific Railroad,USA,https://www.up.com,"30,000+","$24B+",1862,Conglomerate,"Western US, Intermodal, Industrial",Verified
Rail Freight,BNSF Railway,USA,https://www.bnsf.com,"35,000+","$25B+",1849,Conglomerate,"Western US, Intermodal, Consumer",Verified
Rail Freight,Canadian National Railway,Canada,https://www.cn.ca,"25,000+","$17B+",1919,Conglomerate,"Transcontinental, Cross-Border",Verified
Rail Freight,CSX Transportation,USA,https://www.csx.com,"20,000+","$15B+",1827,Conglomerate,"Eastern US, Merchandise, Coal",Verified
Rail Freight,Norfolk Southern Railway,USA,https://www.nscorp.com,"19,000+","$13B+",1881,Conglomerate,"Eastern US, Intermodal, Industrial",Verified
Rail Freight,Kansas City Southern,USA,https://www.kcsouthern.com,"7,000+","$3B+",1887,Large Enterprise,"US-Mexico Cross-Border",Verified
Rail Freight,Deutsche Bahn Schenker,Germany,https://www.dbschenker.com,"76,000+","$28B+",1931,Conglomerate,"Rail, Road, Air, Sea Logistics",Verified
Rail Freight,Russian Railways,Russia,https://www.rzd.ru,"800,000+","$40B+",1992,Conglomerate,"National Rail, Freight, Passengers",Verified
Rail Freight,Aurizon,Australia,https://www.aurizon.com.au,"6,000+","$3B+",2004,Large Enterprise,"Bulk, General Freight, Australia",Verified
Rail Freight,SNCF Logistics,France,https://www.sncf.com,"275,000+","$40B+",1937,Conglomerate,"Rail Logistics, Freight, Geodis",Verified
Rail Freight,Canadian Pacific Railway,Canada,https://www.cpr.ca,"13,000+","$8B+",1881,Large Enterprise,"Transcontinental, Cross-Border",Verified
Rail Freight,Indian Railways,India,https://www.indianrailways.gov.in,"1.2M+","$25B+",1853,Conglomerate,"National Rail Network, Bulk",Verified
Rail Freight,Swiss Federal Railways,Switzerland,https://www.sbb.ch,"34,000+","$10B+",1902,Conglomerate,"Alpine Transit, Freight, Passengers",Verified
Rail Freight,Ost-West Logistik,Germany,https://www.owl-logistik.com,"<500","$100M+",1991,Medium Enterprise,"Rail Logistics, East-West",Verified
Rail Freight,Genesee & Wyoming,USA,https://www.gwrr.com,"7,000+","$2B+",1899,Large Enterprise,"Short-line, Regional Rail",Verified
Rail Freight,VR Group,Finland,https://www.vrgroup.com,"12,000+","$1.5B+",1862,Large Enterprise,"Finnish Rail, Freight, Passengers",Verified
Rail Freight,Green Cargo,Sweden,https://www.greencargo.com,"2,000+","$500M+",2001,Medium Enterprise,"Scandinavian Rail, Eco-Friendly",Verified
Rail Freight,PKP Cargo,Poland,https://www.pkpcargo.com,"15,000+","$1B+",2001,Large Enterprise,"Polish Rail, Bulk, Intermodal",Verified
Rail Freight,CFR Călători,Romania,https://www.cfrcalatori.ro,"20,000+","$500M+",1880,Large Enterprise,"Passenger Rail (Primary)",Verified
Courier & Express Delivery,FedEx,USA,https://www.fedex.com,"547,000+","$88B+",1971,Conglomerate,"Express, Ground, Freight, Logistics",Verified
Courier & Express Delivery,UPS,USA,https://www.ups.com,"500,000+","$91B+",1907,Conglomerate,"Small Package, Supply Chain, Logistics",Verified
Courier & Express Delivery,DHL Express,Germany,https://www.dhl.com,"600,000+ (Group)","$90B+ (Group)",1969,Conglomerate,"International Express, Parcel",Verified
Courier & Express Delivery,TNT Express,Netherlands,https://www.tnt.com,"65,000+ (FedEx)","N/A (FedEx)",1946,Large Enterprise,"European Road Network, Express",Verified
Courier & Express Delivery,Aramex,UAE,https://www.aramex.com,"16,000+","$900M+",1982,Large Enterprise,"Middle East, Express, Logistics",Verified
Courier & Express Delivery,SF Express,China,https://www.sf-express.com,"180,000+","$15B+",1993,Conglomerate,"Domestic Express, Integrated Logistics",Verified
Courier & Express Delivery,Yamato Transport,Japan,https://www.kuronekoyamato.co.jp,"200,000+","$15B+",1919,Conglomerate,"Ta-Q-Bin, Home Delivery",Verified
Courier & Express Delivery,PostNL,Netherlands,https://www.postnl.nl,"35,000+","$4B+",1752,Large Enterprise,"Benelux Mail, Parcels",Verified
Courier & Express Delivery,Royal Mail,UK,https://www.royalmail.com,"150,000+","$15B+",1516,Conglomerate,"UK Postal, Parcels",Verified
Courier & Express Delivery,La Poste Group,France,https://www.laposte.fr,"250,000+","$15B+",1576,Conglomerate,"French Postal, Parcels, Banking",Verified
Courier & Express Delivery,Poste Italiane,Italy,https://www.poste.it,"120,000+","$12B+",1862,Conglomerate,"Italian Postal, Financial Services",Verified
