Industry,Company Name,HQ Country,Website,Employee Count,Revenue Estimate,Founded,Company Size,Specialization Tags,Status
E-commerce Marketplaces,Amazon,USA,https://www.amazon.com,"1,608,000+","$574B+",1994,Conglomerate,"Online Marketplace, Cloud, Subscription Services",Verified
E-commerce Marketplaces,Alibaba Group,China,https://www.alibabagroup.com,"254,941+","$130B+",1999,Conglomerate,"B2B, B2C, Cloud, Digital Media",Verified
E-commerce Marketplaces,JD.com,China,https://www.jd.com,"459,150+","$155B+",1998,Conglomerate,"Direct Sales, Marketplace, Logistics",Verified
E-commerce Marketplaces,eBay,USA,https://www.ebay.com,"11,600+","$10B+",1995,Large Enterprise,"Online Auctions, Marketplace",Verified
E-commerce Marketplaces,Rakuten,Japan,https://www.rakuten.com,"15,000+","$15B+",1997,Large Enterprise,"E-commerce, FinTech, Digital Content",Verified
E-commerce Marketplaces,Shopify,Canada,https://www.shopify.com,"11,600+","$7B+",2006,Large Enterprise,"E-commerce Platform, POS, Payments",Verified
E-commerce Marketplaces,Mercado Libre,Argentina,https://www.mercadolibre.com,"50,000+","$14B+",1999,Large Enterprise,"Latin America Marketplace, FinTech",Verified
E-commerce Marketplaces,Flipkart (Walmart),India,https://www.flipkart.com,"30,000+","$23B+",2007,Large Enterprise,"E-commerce, Fashion, Electronics",Verified
E-commerce Marketplaces,Wayfair,USA,https://www.wayfair.com,"16,000+","$12B+",2002,Large Enterprise,"Home Goods, Furniture, Decor",Verified
E-commerce Marketplaces,Etsy,USA,https://www.etsy.com,"2,300+","$2.7B+",2005,Large Enterprise,"Handmade, Vintage, Craft Supplies",Verified
E-commerce Marketplaces,OTTO Group,Germany,https://www.otto.group,"50,000+","$16B+",1949,Large Enterprise,"Multi-channel Retail, E-commerce, Services",Verified
E-commerce Marketplaces,Zalando,Germany,https://www.zalando.com,"17,000+","$12B+",2008,Large Enterprise,"Fashion, Shoes, Lifestyle",Verified
E-commerce Marketplaces,Coupang,South Korea,https://www.coupang.com,"50,000+","$24B+",2010,Large Enterprise,"Rocket Delivery, E-commerce, Grocery",Verified
E-commerce Marketplaces,Jumia,Nigeria,https://www.jumia.com,"5,000+","$200M+",2012,Large Enterprise,"Pan-Africa E-commerce, Marketplace",Verified
E-commerce Marketplaces,Pinduoduo,China,https://www.pinduoduo.com,"10,000+","$16B+",2015,Large Enterprise,"Social Commerce, Group Buying, Agriculture",Verified
E-commerce Marketplaces,Tokopedia (GoTo),Indonesia,https://www.tokopedia.com,"5,000+","$2B+",2009,Large Enterprise,"Indonesian Marketplace, E-commerce",Verified
E-commerce Marketplaces,Lazada (Alibaba),Singapore,https://www.lazada.com,"10,000+","$2B+",2012,Large Enterprise,"Southeast Asia E-commerce",Verified
E-commerce Marketplaces,Newegg,USA,https://www.newegg.com,"2,000+","$2B+",2001,Large Enterprise,"Computer Hardware, Electronics",Verified
E-commerce Marketplaces,Wish,USA,https://www.wish.com,"1,000+","$2B+",2010,Large Enterprise,"Discount E-commerce, Global Marketplace",Verified
