Industry,Company Name,HQ Country,Website,Employee Count,Revenue Estimate,Founded,Company Size,Specialization Tags,Status
Higher Education (Universities),Harvard University,USA,https://www.harvard.edu,"21,000+","$6B Endowment $53B+",1636,Large Enterprise,"Ivy League, Research, Liberal Arts",Verified
Higher Education (Universities),Stanford University,USA,https://www.stanford.edu,"16,000+","$8B Endowment $37B+",1885,Large Enterprise,"Technology, Entrepreneurship, Research",Verified
Higher Education (Universities),University of Oxford,UK,https://www.ox.ac.uk,"18,000+","$3B Endowment $7B+",1096,Large Enterprise,"Humanities, Sciences, Research",Verified
Higher Education (Universities),ETH Zurich,Switzerland,https://www.ethz.ch,"11,000+","$2B+",1855,Large Enterprise,"Engineering, Technology, Natural Sciences",Verified
Higher Education (Universities),University of Tokyo,Japan,https://www.u-tokyo.ac.jp,"8,000+","$3B+",1877,Large Enterprise,"Comprehensive Research, National University",Verified
Higher Education (Universities),Peking University,China,https://english.pku.edu.cn,"12,000+","$2B+",1898,Large Enterprise,"C9 League, Humanities, Sciences",Verified
Higher Education (Universities),National University of Singapore,Singapore,https://nus.edu.sg,"10,000+","$3B+",1905,Large Enterprise,"Comprehensive Research, Global Rankings",Verified
Higher Education (Universities),University of Toronto,Canada,https://www.utoronto.ca,"15,000+","$4B+",1827,Large Enterprise,"Research, Medicine, Innovation",Verified
Higher Education (Universities),University of Melbourne,Australia,https://www.unimelb.edu.au,"9,000+","$3B+",1853,Large Enterprise,"Group of Eight, Research, Arts",Verified
Higher Education (Universities),Sorbonne University,France,https://www.sorbonne-universite.fr,"7,000+","$1B+",2018,Large Enterprise,"Humanities, Medicine, Sciences",Verified
Higher Education (Universities),Lomonosov Moscow State University,Russia,https://www.msu.ru,"10,000+","$1B+",1755,Large Enterprise,"Fundamental Sciences, Research",Verified
Higher Education (Universities),Seoul National University,South Korea,https://en.snu.ac.kr,"5,000+","$1B+",1946,Large Enterprise,"SKY Universities, Engineering, Medicine",Verified
Higher Education (Universities),University of Cape Town,South Africa,https://www.uct.ac.za,"5,000+","$400M+",1829,Large Enterprise,"Research, Africa's Leading University",Verified
Higher Education (Universities),Tecnológico de Monterrey,Mexico,https://tec.mx,"9,000+","$1B+",1943,Large Enterprise,"Private, Engineering, Business",Verified
Higher Education (Universities),University of São Paulo,Brazil,https://www5.usp.br,"15,000+","$2B+",1934,Large Enterprise,"Public, Research, Largest in Brazil",Verified
Higher Education (Universities),LMU Munich,Germany,https://www.lmu.de,"7,000+","$800M+",1472,Large Enterprise,"Comprehensive, Research, Excellence Initiative",Verified
Higher Education (Universities),Delft University of Technology,Netherlands,https://www.tudelft.nl,"5,000+","$600M+",1842,Large Enterprise,"Engineering, Technology, Design",Verified
Higher Education (Universities),Karolinska Institute,Sweden,https://ki.se,"5,000+","$800M+",1810,Large Enterprise,"Medicine, Health Sciences, Nobel Assembly",Verified
Higher Education (Universities),University of Copenhagen,Denmark,https://www.ku.dk,"10,000+","$900M+",1479,Large Enterprise,"Research, Health Sciences, Humanities",Verified
Higher Education (Universities),University of Auckland,New Zealand,https://www.auckland.ac.nz,"5,000+","$1B+",1883,Large Enterprise,"Research, Largest in New Zealand",Verified
K-12 Education (Private Schools),Nord Anglia Education,UK,https://www.nordangliaeducation.com,"15,000+","$1B+",1972,Large Enterprise,"International Schools, STEAM, Juilliard Collaboration",Verified
K-12 Education (Private Schools),GEMS Education,UAE,https://www.gemseducation.com,"10,000+","$500M+",1959,Large Enterprise,"Private K-12, UAE & Global, Diverse Curricula",Verified
K-12 Education (Private Schools),Cognita Schools,UK,https://www.cognita.com,"10,000+","$800M+",2004,Large Enterprise,"Global Private Schools, Holistic Education",Verified
K-12 Education (Private Schools),Bright Scholar Education Holdings,China,https://www.brightscholar.com,"15,000+","$600M+",1994,Large Enterprise,"Bilingual Schools, International Curriculum",Verified
