id,name,country_id,country_name
12200,Moog Inc.,151,United States
12201,Cytec Solvay Group,117,Belgium
12202,Aurora Flight Sciences,151,United States
12203,Lockheed Martin UAVs,151,United States
12204,Lockheed Martin Rotary,151,United States
12205,Textron Systems,151,United States
12206,Mitsubishi Heavy Industries,100,Japan
12207,Mitsubishi Heavy Composites,100,Japan
12208,IAI Missile Systems,61,Israel
12209,Rafael Advanced Defense,61,Israel
12210,Raytheon Missiles & Defense,151,United States
12211,Daher Aerospace,118,France
12212,Patria,108,Finland
12213,Arsenal JSCo,126,Bulgaria
12214,Rheinmetall Weapons,119,Germany
12215,Turkish Aerospace Industries,70,Turkey
12216,Honeywell Aerospace,151,United States
12217,Denel Land Systems,54,South Africa
12218,Nexter Systems,118,France
12219,Avibras,175,Brazil
12220,Krauss-Maffei Wegmann,119,Germany
12221,Honeywell ATM,151,United States
12222,BAE Systems ATM,115,United Kingdom
12223,Frequentis AG,116,Austria
12224,L3Harris ATM,151,United States
12225,Harris ATM,151,United States
12226,Leidos ATM,151,United States
12227,Rohde & Schwarz ATM,119,Germany
12228,Siqura B.V.,123,Netherlands
12229,L3Harris Avionics,151,United States
12230,Safran Landing Systems,118,France
12231,Dassault Aviation,118,France
12232,Elbit Systems Land,61,Israel
12233,General Dynamics Mission Systems,151,United States
12234,BAE Systems,115,United Kingdom
12235,CACI International,151,United States
12236,Cubic Defense,151,United States
12237,Indra Sistemas,148,Spain
12238,Northrop Grumman,151,United States
12239,Northrop Grumman Cyber,151,United States
12240,Thales Group,118,France
12241,Olin Corporation,151,United States
12242,Kratos Defense,151,United States
12243,CSSC (China State Shipbuilding),98,China
12244,Garmin Aviation,151,United States
12245,Rockwell Collins,151,United States
12246,Rohde & Schwarz,119,Germany
12247,Curtiss-Wright Avionics,151,United States
12248,Triumph Group,151,United States
12249,GKN Aerospace,115,United Kingdom
12250,SGL Carbon,119,Germany
12251,Toray Industries,100,Japan
12252,Bechtel National,151,United States
12253,Fluor Defense,151,United States
12254,Accenture Federal,151,United States
12255,Fincantieri,140,Italy
12256,Booz Allen Hamilton,151,United States
12257,General Dynamics IT,151,United States
12258,Leidos,151,United States
12259,Leonardo S.p.A.,140,Italy
12260,Leonardo S.p.A.,140,Italy
12261,Leonardo S.p.A.,140,Italy
12262,BMT Group,115,United Kingdom
12263,Mitsubishi Heavy Industries,100,Japan
12264,Elbit Systems Avionics,61,Israel
12265,Sierra Nevada Corporation,151,United States
