name,sector_name,industry_name,country_id,country_name
 Americold Logistics,Transportation and Logistics,Warehousing & Distribution,151,United States
10x Genomics,Healthcare and Pharmaceuticals,Genomics,151,United States
1A Auto,Retail,Automotive Parts Retail,151,United States
1QBit,Technology,Quantum Computing,150,Canada
2Checkout (Verifone),Banking & Financial Services,Payment Processing,151,United States
3CLogic,Telecommunications and ICT,Contact Center Solutions,151,United States
3CX,Telecommunications and ICT,VoIP Services,58,Cyprus
3D Systems,Technology,3D Printing,151,United States
3M Industrial Adhesives,Chemicals,Adhesives & Sealants,151,United States
3M Industrial Cleaning,Chemicals,Industrial Cleaners,151,United States
3Sixty Duty Free (Lotte),Retail,Duty-Free Shops,104,South Korea
4PX,Transportation and Logistics,E-commerce Logistics,98,China
7 Cups,Healthcare and Pharmaceuticals,Mental Health Apps,151,United States
72andSunny,Professional Services,Marketing & Advertising,151,United States
80 Acres Farms,Agriculture,Sustainable Agriculture,151,United States
8th Wall,Technology,AR/VR Hardware,151,United States
8x8 Contact Center,Telecommunications and ICT,Contact Center Solutions,151,United States
8x8 Inc.,Telecommunications and ICT,Cloud Telephony,151,United States
8x8 Inc.,Telecommunications and ICT,Unified Communications,151,United States
98point6,Healthcare and Pharmaceuticals,Telehealth,151,United States
A10 Networks,Telecommunications and ICT,Enterprise Networking,151,United States
A24 Films,Media and Entertainment,Film Production,151,United States
A3 Artists Agency,Media and Entertainment,Talent Agencies,151,United States
AAI (India),Aerospace and Defense,Airport Infrastructure & Services,81,India
AAK AB,Food and Beverage,Oils & Fats,114,Sweden
AAR Corp,Aerospace and Defense,MRO Services,151,United States
AB Agri (Associated British Foods),Food and Beverage,Animal Feed,115,United Kingdom
ABB,Energy and Utilities,Utility-Scale Storage,124,Switzerland
ABB,Energy and Utilities,Battery Storage,124,Switzerland
ABB,Energy and Utilities,Smart Grids,124,Switzerland
ABB E-mobility,Automobile,Charging Infrastructure,124,Switzerland
ABB Electrification,Manufacturing,Renewable Energy Equipment,124,Switzerland
ABB Robotics,Technology,Robotics,124,Switzerland
ABC Radio (Australia),Media and Entertainment,Radio Broadcasting,185,Australia
ABC Television Network,Media and Entertainment,Television Broadcasting,151,United States
ABM Industries,Construction and Engineering,Building Maintenance,151,United States
ABM Industries,Real Estate,Facility Management,151,United States
ABN AMRO Trade Finance,Banking & Financial Services,Trade Finance,123,Netherlands
ABP Netherlands,Banking & Financial Services,Pension Funds,123,Netherlands
ABRO Industries,Chemicals,Industrial Cleaners,151,United States
ACCESS Dubai,Education,Special Education Services,71,United Arab Emirates
ACE Property & Casualty (Chubb),Insurance,Crop Insurance,151,United States
ACE Rent a Car,Automobile,Car Rental Services,151,United States
ACRA Singapore,Banking & Financial Services,Credit Rating Agencies,94,Singapore
ACRE Africa,Insurance,Microinsurance,28,Kenya
ACS Group,Construction and Engineering,Commercial Construction,148,Spain
ACS International Schools,Education,K-12 Education (Private Schools),115,United Kingdom
ACT Inc.,Education,Test Preparation Services,151,United States
ACWA Power,Energy and Utilities,Power Plant Engineering,68,Saudi Arabia
ADAMA Agricultural Solutions,Agriculture,Pesticides & Herbicides,61,Israel
ADLINK Technology,Technology,Edge Computing,105,Taiwan
ADM,Energy and Utilities,Biofuels,151,United States
ADM (Archer Daniels Midland),Food and Beverage,Oils & Fats,151,United States
ADM (Archer Daniels Midland),Agriculture,Crop Production,151,United States
ADM Animal Nutrition,Food and Beverage,Animal Feed,151,United States
ADM Food Ingredients,Chemicals,Food Additives,151,United States
ADM Grain Logistics,Agriculture,Agricultural Logistics & Storage,151,United States
ADM Milling,Food and Beverage,Grain & Cereal Products,151,United States
ADM Trading,Agriculture,Agribusiness & Commodity Trading,151,United States
ADNOC,Energy and Utilities,Oil Exploration,71,United Arab Emirates
ADNOC LNG,Energy and Utilities,LNG Terminals,71,United Arab Emirates
ADP Group (Paris Airports),Aerospace and Defense,Airport Infrastructure & Services,118,France
ADT Smart Home Security,Real Estate,Smart Home Tech,151,United States
ADTRAN,Telecommunications and ICT,Fiber Optics,151,United States
ADVA Optical Networking,Telecommunications and ICT,Telecom Equipment,119,Germany
AECC (Aero Engine Corp),Aerospace and Defense,Aircraft Engines & Components,98,China
AECOM,Construction and Engineering,Commercial Construction,151,United States
AECOM,Professional Services,Engineering Consulting,151,United States
AECOM Decommissioning,Construction and Engineering,Demolition & Decommissioning,151,United States
AECOM Defense,Aerospace and Defense,Defense Logistics & Support,151,United States
AECOM Design,Professional Services,Architecture & Design Services,151,United States
AECOM Environment,Construction and Engineering,Environmental Engineering,151,United States
AECOM Environment,Professional Services,Environmental Consulting,151,United States
AECOM Project Management,Construction and Engineering,Project Management,151,United States
AECOM Surveying,Construction and Engineering,Surveying & Mapping,151,United States
AECOM Sustainable Development,Construction and Engineering,Green Building Consulting,151,United States
AECOM Urbanism,Construction and Engineering,Urban Planning,151,United States
AECOM Water,Construction and Engineering,Environmental Engineering,151,United States
AEG Presents,Media and Entertainment,Live Events,151,United States
AES Corporation,Energy and Utilities,Electricity Distribution,151,United States
AES Energy Storage,Energy and Utilities,Utility-Scale Storage,151,United States
AEcceleration,Healthcare and Pharmaceuticals,Medical Imaging,151,United States
AEye,Automobile,Automotive AI,151,United States
AFAR Media,Travel and Tourism,Travel Media & Publishing,151,United States
AGCO (Fendt),Agriculture,Agricultural Equipment,151,United States
AGCO Corporation,Agriculture,Crop Production,151,United States
AGCO Corporation (Massey Ferguson),Agriculture,Agricultural Equipment,151,United States
AGCO Fuse Technologies,Agriculture,Farm Management Software,151,United States
AGP Grain Handling,Agriculture,Agricultural Logistics & Storage,151,United States
AIA Group,Insurance,Life Insurance,99,Hong Kong
AIA Group,Banking & Financial Services,Insurance Underwriting,99,Hong Kong
AIDA Cruises,Travel and Tourism,Cruise Lines,119,Germany
AIFS Abroad,Education,Study Abroad Services,151,United States
AIG,Insurance,Annuities,151,United States
AIG,Insurance,Cyber Insurance,151,United States
AIG Marine,Insurance,Marine Insurance,151,United States
AIG Travel Guard,Insurance,Travel Insurance,151,United States
AIG Travel Guard,Travel and Tourism,Travel Insurance Providers,151,United States
AImotive,Automobile,Automotive AI,151,United States
AK Steel Holding,Manufacturing,Steel & Metal Products,151,United States
